Date,Open,High,Low,Price,Volume,Daily_Return,Price_Change,Price_Range,MA_7,MA_30,MA_90,Volatility_30,Day_of_Week,Month,Year,Quarter
1996-10-30,9.97,9.97,9.88,9.89,1640521,,-0.08,0.09,9.89,9.89,9.89,,Wednesday,10,1996,4
1996-10-31,9.91,10.02,9.91,10.02,1908031,1.34,0.11,0.11,9.95,9.95,9.95,,Thursday,10,1996,4
1996-11-01,10.08,10.17,10.03,10.07,2423211,0.47,-0.01,0.14,9.99,9.99,9.99,0.61,Friday,11,1996,4
1996-11-04,10.08,10.17,10.08,10.14,1284644,0.78,0.07,0.09,10.03,10.03,10.03,0.44,Monday,11,1996,4
1996-11-05,10.19,10.34,10.14,10.34,2105206,1.88,0.15,0.2,10.09,10.09,10.09,0.62,Tuesday,11,1996,4
1996-11-06,10.39,10.49,10.36,10.49,2973859,1.53,0.1,0.14,10.16,10.16,10.16,0.57,Wednesday,11,1996,4
1996-11-07,10.49,10.5,10.31,10.44,2894508,-0.54,-0.05,0.2,10.2,10.2,10.2,0.87,Thursday,11,1996,4
1996-11-08,10.5,10.55,10.48,10.48,2001809,0.38,-0.02,0.07,10.28,10.23,10.23,0.82,Friday,11,1996,4
1996-11-11,10.47,10.53,10.46,10.52,1020742,0.45,0.05,0.06,10.35,10.26,10.26,0.77,Monday,11,1996,4
1996-11-12,10.51,10.76,10.47,10.76,2786903,2.27,0.25,0.29,10.45,10.31,10.31,0.88,Tuesday,11,1996,4
1996-11-15,10.97,10.98,10.79,10.93,1848517,1.59,-0.04,0.19,10.56,10.37,10.37,0.85,Friday,11,1996,4
1996-11-18,10.94,10.95,10.78,10.81,1451161,-1.11,-0.13,0.16,10.63,10.41,10.41,1.03,Monday,11,1996,4
1996-11-19,10.81,10.88,10.79,10.88,741210,0.62,0.07,0.09,10.69,10.44,10.44,0.98,Tuesday,11,1996,4
1996-11-20,10.9,10.97,10.76,10.8,1249177,-0.72,-0.1,0.21,10.74,10.47,10.47,1.03,Wednesday,11,1996,4
1996-11-21,10.79,10.91,10.79,10.84,1651342,0.37,0.05,0.12,10.79,10.49,10.49,1.0,Thursday,11,1996,4
1996-11-22,10.86,10.93,10.81,10.91,1180045,0.61,0.04,0.12,10.85,10.52,10.52,0.96,Friday,11,1996,4
1996-11-25,10.96,11.12,10.96,11.11,1502860,1.9,0.15,0.16,10.9,10.55,10.55,0.98,Monday,11,1996,4
1996-11-26,11.15,11.28,11.15,11.17,1883384,0.5,0.02,0.13,10.93,10.59,10.59,0.95,Tuesday,11,1996,4
1996-11-27,11.15,11.15,11.0,11.04,1188461,-1.15,-0.11,0.15,10.96,10.61,10.61,1.02,Wednesday,11,1996,4
